county_fips,bea_county_name,state_name,population_start,income_index_start,pcpi_start,income_index_end,pcpi_end,population_end,income_index_volatility,income_index_change,income_index_ratio,population_change_pct,rank_start,rank_end,rank_gain,period,high_volatility
56039,"Teton, WY",Wyoming,4727.0,146.8055580171994,8871.545454545454,633.7195640744296,426489.8,23272.0,154.4722887993495,486.91400605723027,4.3167273271777935,392.32071081023906,18.0,1.0,17.0,1969-1979 avg vs 2020-2024 avg,True
49043,"Summit, UT",Utah,5900.0,108.41220456249965,6706.727272727273,350.04558088001795,235158.4,43109.0,72.48709868017052,241.6333763175183,3.228839246398837,630.6610169491526,206.0,2.0,204.0,1969-1979 avg vs 2020-2024 avg,True
08097,"Pitkin, CO",Colorado,5876.0,141.8815889335419,8685.727272727272,334.8646070032447,225069.6,16643.0,65.00623269757034,192.9830180697028,2.360169557729559,183.2368958475153,24.0,3.0,21.0,1969-1979 avg vs 2020-2024 avg,True
16013,"Blaine, ID",Idaho,5694.0,109.0726037417327,6687.0,257.02049070721796,172424.2,25261.0,45.63995107846782,147.94788696548525,2.35641656924046,343.642430628732,197.0,5.0,192.0,1969-1979 avg vs 2020-2024 avg,True
08113,"San Miguel, CO",Colorado,1934.0,70.9904325081971,4328.909090909091,204.1999232350169,137005.0,7819.0,41.91375435710748,133.2094907268198,2.8764428673038216,304.29162357807655,2239.0,12.0,2227.0,1969-1979 avg vs 2020-2024 avg,True
06081,"San Mateo, CA",California,552230.0,142.72144777309148,8675.818181818182,248.58789369427313,165727.0,742893.0,33.796311844580046,105.86644592118165,1.7417697029636043,34.52601271209459,23.0,7.0,16.0,1969-1979 avg vs 2020-2024 avg,True
46127,"Union, SD",South Dakota,9666.0,92.4220059285036,5655.636363636364,196.68501553786587,131363.4,17402.0,46.47115653744846,104.26300960936227,2.128118877770503,80.03310573142974,832.0,15.0,817.0,1969-1979 avg vs 2020-2024 avg,True
36061,"New York, NY",New York,1543762.0,191.5526590464876,11538.454545454546,295.7153451864604,197365.8,1660664.0,48.607996543667696,104.1626861399728,1.543780945973158,7.572540326812027,2.0,4.0,-2.0,1969-1979 avg vs 2020-2024 avg,True
48301,"Loving, TX",Texas,157.0,141.449507065118,8783.636363636364,243.71972806693844,164932.6,48.0,58.2187987366992,102.27022100182043,1.723015746917655,-69.4267515923567,25.0,8.0,17.0,1969-1979 avg vs 2020-2024 avg,True
06041,"Marin, CA",California,203506.0,154.79944277095413,9466.545454545454,254.99040715863188,170230.2,256400.0,32.19522420977166,100.19096438767775,1.647230781934553,25.99137126178097,12.0,6.0,6.0,1969-1979 avg vs 2020-2024 avg,True
06085,"Santa Clara, CA",California,1033442.0,121.38054969603746,7418.363636363636,214.73797549062246,143247.6,1926325.0,28.792122010486427,93.357425794585,1.769130029715401,86.39894643337507,80.0,11.0,69.0,1969-1979 avg vs 2020-2024 avg,True
51075,"Goochland, VA",Virginia,10103.0,85.55211518031871,5308.0,175.57103710488076,117241.8,28223.0,35.992956014101644,90.01892192456205,2.0522115290174723,179.3526675244977,1296.0,23.0,1273.0,1969-1979 avg vs 2020-2024 avg,True
