year,top10_avg_gdp_per_capita,bottom10_avg_gdp_per_capita,top10_bottom10_gap,top10_bottom10_ratio,p90_gdp_per_capita,p10_gdp_per_capita,p90_p10_gap,p90_p10_ratio
2006,67850.4596273588,41529.97830678829,26320.481320570507,1.6337706493881863,66953.7842115411,41995.52530916405,24958.258902377056,1.5943075772630184
2007,69077.45004908592,41668.21339980579,27409.23664928013,1.6577972610989815,68699.66663052542,43117.10708256719,25582.559547958226,1.5933273653765512
2008,68632.07001420946,41609.19928362968,27022.87073057978,1.6494446227234034,69132.24591190611,42584.95161197391,26547.294299932197,1.6233961363118634
2009,68019.04492922213,39932.70447701604,28086.34045220609,1.703341805170538,68084.07959791977,40743.50382663268,27340.57577128709,1.6710413490117033
2010,68219.73620305858,40738.96662210755,27480.769580951026,1.6745573552677748,69432.8168650489,41583.13736350611,27849.679501542785,1.6697349278408227
2011,68721.23889129916,41073.95585903492,27647.28303226424,1.6731098199342966,68886.0546889804,41895.36000729699,26990.694681683402,1.6442406671522187
2012,70607.5986658772,41364.54769466072,29243.05097121648,1.706959282791605,72600.48756524081,42198.10109782398,30402.38646741683,1.7204681176751953
2013,70018.07612419783,41841.565449826245,28176.510674371588,1.6734095718325614,72055.62529124535,42750.9250059464,29304.700285298946,1.6854752331375948
2014,71636.37422694704,42207.10715039434,29429.2670765527,1.6972585676551808,72333.31490259024,42678.96438238854,29654.350520201697,1.6948235729084034
2015,72735.9704250146,42577.64568500264,30158.324740011965,1.7083135822757527,72919.04758443161,43497.399176919505,29421.648407512104,1.6764001748206536
2016,71880.46572445774,42895.08854300422,28985.37718145352,1.6757271791709767,72039.9471324729,44370.15113040204,27669.796002070856,1.623612841000935
2017,72968.00806303832,43439.513268591116,29528.4947944472,1.6797611799162986,72304.01180507617,44524.44812316015,27779.563681916014,1.6239170804559844
2018,74539.47185245377,44365.472971390074,30173.9988810637,1.6801234577285356,73411.84663122562,45462.39881055501,27949.44782067061,1.6147816338758962
2019,76243.19817494371,45145.74934332434,31097.448831619367,1.688823406056006,76487.54617741352,46298.279469335066,30189.266708078452,1.6520602288919577
2020,73196.46813750413,44277.13569261956,28919.332444884567,1.6531437048152384,73133.40121442654,45383.218214689434,27750.18299973711,1.6114635341297823
2021,76769.04080199651,46071.2152909286,30697.82551106791,1.6663124755276923,74851.93645864872,47261.22109061425,27590.71536803447,1.5837918431082136
2022,78244.34552593989,46812.51254787205,31431.83297806784,1.671440844922062,77438.38475151162,48176.38535324487,29261.99939826675,1.6073930035163138
2023,80285.5584075325,48486.98234398047,31798.576063552035,1.6558167682608886,78769.64760661754,49291.86963346611,29477.77797315143,1.5980251549058277
