state,year,gdp,population,gdp_1000000,gdp_per_capita,research_spending,f500_count,f500_pct_change,state_abbr,rd_per_capita,f500_per_million,state_name,bachelors_or_higher_pct,median_household_income,poverty_pct,acs_population
Alabama,2023,248313700000.0,5117673,248313.7,48520.82186571905,83778.649,2,1.0,AL,16.370457627910184,0.3908026167361611,Alabama,27.8,62027.0,15.6,5054253.0
Alaska,2023,54183800000.0,736510,54183.8,73568.315433599,19451.112,0,,AK,26.409841006910973,0.0,Alaska,31.2,89336.0,10.2,733971.0
Arizona,2023,427644000000.0,7473027,427644.0,57225.00400440143,14011.612,10,0.4285714285714286,AZ,1.8749580324010604,1.3381458410360354,Arizona,32.6,76872.0,12.8,7268175.0
Arkansas,2023,141968000000.0,3069463,141968.0,46251.738496277685,9513.651000000002,4,-0.1999999999999999,AR,3.099451272095478,1.3031595428907272,Arkansas,25.1,58773.0,16.0,3032651.0
California,2023,3204016400000.0,39198693,3204016.4,81737.83753453208,594541.351,53,0.0392156862745098,CA,15.167376907184124,1.3520858973537715,California,36.5,96334.0,12.0,39242785.0
Colorado,2023,440225200000.0,5901339,440225.2,74597.51083610007,39665.229,10,0.0,CO,6.721394754648055,1.6945306819350658,Colorado,44.7,92470.0,9.4,5810774.0
Connecticut,2023,283228500000.0,3643023,283228.5,77745.46029492539,55924.506,14,-0.0666666666666666,CT,15.351126248722558,3.8429622870895956,Connecticut,41.9,93760.0,10.0,3598348.0
Delaware,2023,82090900000.0,1036423,82090.9,79205.98056970947,3584.063,1,-0.5,DE,3.458108320637423,0.9648570130149562,Delaware,35.3,82855.0,10.7,1005872.0
Florida,2023,1309392200000.0,22904868,1309392.2,57166.54643021736,222882.689,23,0.0454545454545454,FL,9.730799976668715,1.0041533529029725,Florida,33.2,71711.0,12.6,21928881.0
Georgia,2023,679447200000.0,11064432,679447.2,61408.23134888442,20739.193,19,0.0,GA,1.8744019575519104,1.7172142230165994,Georgia,34.2,74664.0,13.5,10822590.0
Hawaii,2023,89642200000.0,1441387,89642.2,62191.62514994238,5280.407,0,,HI,3.6634207190712833,0.0,Hawaii,35.5,98317.0,10.0,1445635.0
Idaho,2023,95286500000.0,1971122,95286.5,48341.24929862282,18670.602,3,0.0,ID,9.472068192633435,1.521975808701846,Idaho,31.2,74636.0,10.6,1893296.0
Illinois,2023,884965300000.0,12642259,884965.3,70000.56714547613,45892.027,33,-0.1081081081081081,IL,3.630049582119778,2.610292986403775,Illinois,37.2,81702.0,11.7,12692653.0
Indiana,2023,400369500000.0,6880131,400369.5,58192.13326025333,24179.311,7,-0.125,IN,3.5143678223568706,1.0174224880311145,Indiana,28.8,70051.0,12.2,6811752.0
Iowa,2023,201359800000.0,3218414,201359.8,62564.91551428747,10137.542,2,0.0,IA,3.149856419963373,0.6214240927363602,Iowa,30.9,73147.0,11.0,3195937.0
Kansas,2023,180267500000.0,2951500,180267.5,61076.571234965275,10389.303,1,0.0,KS,3.520007792647806,0.338810774182619,Kansas,35.2,72639.0,11.5,2937569.0
Kentucky,2023,226942400000.0,4550595,226942.4,49870.928966431864,26596.145,1,-0.5,KY,5.844542307104895,0.2197514830478212,Kentucky,27.0,62417.0,16.1,4510725.0
Louisiana,2023,248949400000.0,4588071,248949.4,54260.14549469701,31663.714,2,0.0,LA,6.901312991887004,0.4359130449376219,Louisiana,26.6,60023.0,18.9,4621025.0
Maine,2023,75514000000.0,1399646,75514.0,53952.21363116102,47576.00700000001,0,,ME,33.99145712558748,0.0,Maine,35.3,71773.0,10.8,1377400.0
Maryland,2023,420558000000.0,6217062,420558.0,67645.77866522805,46489.603,3,0.0,MD,7.47774479328017,0.4825430404264908,Maryland,42.7,101652.0,9.3,6170738.0
Massachusetts,2023,614786100000.0,7066568,614786.1,86999.2477253456,48424.086,17,-0.0555555555555555,MA,6.852560677262287,2.4056939662931143,Massachusetts,46.6,101341.0,10.0,6992395.0
Michigan,2023,554556200000.0,10083356,554556.2,54997.18546087235,22654.435,18,-0.0526315789473684,MI,2.24671577597776,1.7851199541105163,Michigan,31.8,71149.0,13.1,10051595.0
Minnesota,2023,389864500000.0,5753048,389864.5,67766.59954862187,22769.57,15,-0.0625,MN,3.9578272248032693,2.607313549269883,Minnesota,38.8,87556.0,9.2,5713716.0
Mississippi,2023,119454200000.0,2943172,119454.2,40586.890606461326,10030.897,0,,MS,3.4081925894918816,0.0,Mississippi,24.2,54915.0,19.1,2951438.0
Missouri,2023,346895300000.0,6208038,346895.3,55878.411182405776,17272.09,8,0.0,MO,2.7822139619635062,1.2886519058034116,Missouri,31.9,68920.0,12.6,6168181.0
Montana,2023,58604900000.0,1131302,58604.9,51803.05524077567,9956.071,0,,MT,8.800542207120644,0.0,Montana,34.5,69922.0,12.0,1105072.0
Nebraska,2023,147146500000.0,1987864,147146.5,74022.41803262195,29145.638,4,0.0,NE,14.661786721828053,2.0122100908311635,Nebraska,34.1,74985.0,10.3,1965926.0
Nevada,2023,201158600000.0,3214363,201158.6,62581.17082607036,4072.717000000001,2,0.0,NV,1.267037045909252,0.6222072615942879,Nevada,27.4,75561.0,12.6,3141000.0
New Hampshire,2023,93645800000.0,1402199,93645.8,66784.95705673732,2521.016,0,,NH,1.7979017243629472,0.0,New Hampshire,39.8,95628.0,7.2,1387834.0
New Jersey,2023,662320100000.0,9379642,662320.1,70612.51378250898,99832.733,14,-0.0666666666666666,NJ,10.64355473268596,1.4925942802507814,New Jersey,42.9,101050.0,9.8,9267014.0
New Mexico,2023,114059200000.0,2121164,114059.2,53771.98557018694,2337.788,0,,NM,1.1021250596370673,0.0,New Mexico,30.2,62125.0,18.1,2114768.0
New York,2023,1793384500000.0,19737367,1793384.5,90862.3982114737,486576.5779999999,50,-0.0196078431372549,NY,24.652557658779916,2.533265961969497,New York,39.6,84578.0,13.7,19872319.0
North Carolina,2023,643045800000.0,10881189,643045.8,59097.01596029625,36106.613,13,0.0,NC,3.3182598886941492,1.1947223782253944,North Carolina,34.7,69904.0,13.2,10584340.0
North Dakota,2023,62114700000.0,789047,62114.7,78721.166166274,25815.68799999999,0,,ND,32.71755421413425,0.0,North Dakota,32.3,75949.0,10.6,779361.0
Ohio,2023,707996200000.0,11824034,707996.2,59877.72024336195,117471.257,24,-0.04,OH,9.93495595496427,2.029764122802759,Ohio,30.9,69680.0,13.2,11780046.0
Oklahoma,2023,207072700000.0,4063882,207072.7,50954.40763289879,28880.31,6,1.0,OK,7.106581834807211,1.4764208212738459,Oklahoma,27.8,63603.0,15.3,3995260.0
Oregon,2023,258023400000.0,4253653,258023.4,60659.24982597311,40257.488,2,0.0,OR,9.464215346197728,0.47018409823274254,Oregon,36.2,80426.0,11.9,4238714.0
Pennsylvania,2023,789918500000.0,13017721,789918.5,60680.24502906461,99487.575,23,0.0,PA,7.6424725188072475,1.7668223185917105,Pennsylvania,34.5,76081.0,11.8,12986518.0
Rhode Island,2023,62119300000.0,1103429,62119.3,56296.59905621476,4635.868,4,-0.3333333333333333,RI,4.201328766961898,3.6250633253249642,Rhode Island,37.3,86372.0,10.9,1095371.0
South Carolina,2023,266037800000.0,5387830,266037.8,49377.54160766023,53419.952,1,,SC,9.914929015948907,0.18560348043646513,South Carolina,31.5,66818.0,14.2,5212774.0
South Dakota,2023,57253000000.0,918305,57253.0,62346.38818257551,5191.666,0,,SD,5.653531234176009,0.0,South Dakota,31.1,72421.0,12.0,899194.0
Tennessee,2023,428276100000.0,7148304,428276.1,59912.96676806135,67457.25499999999,10,0.0,TN,9.43681955887718,1.3989332294765302,Tennessee,30.4,67097.0,13.8,6986082.0
Texas,2023,2137536700000.0,30727890,2137536.7,69563.40640375894,282261.79,55,0.0377358490566037,TX,9.185850053485613,1.789904871437642,Texas,33.1,76292.0,13.8,29640343.0
Utah,2023,226322100000.0,3443222,226322.1,65729.74382714795,10119.476,0,,UT,2.938955431860043,0.0,Utah,36.9,91750.0,8.6,3331187.0
Vermont,2023,35499400000.0,648708,35499.4,54723.23449071077,2833.206,0,,VT,4.367459627444089,0.0,Vermont,42.6,78024.0,10.3,645254.0
Virginia,2023,599261000000.0,8734685,599261.0,68607.05337399116,57260.55999999999,24,0.1428571428571428,VA,6.555538064623967,2.747666344006681,Virginia,41.5,90974.0,9.9,8657499.0
Washington,2023,670977800000.0,7857320,670977.8,85395.24927074372,60479.94699999999,12,0.1999999999999999,WA,7.697274261453013,1.5272382949911676,Washington,38.8,94952.0,9.9,7740984.0
West Virginia,2023,80364900000.0,1770495,80364.9,45391.204154770276,8731.716999999999,0,,WV,4.931794215741924,0.0,West Virginia,23.3,57917.0,16.6,1784462.0
Wisconsin,2023,347108200000.0,5930405,347108.2,58530.26901198147,16366.53,8,0.0,WI,2.7597659856283,1.3489803816096877,Wisconsin,32.8,75670.0,10.6,5892023.0
Wyoming,2023,39843200000.0,585067,39843.2,68100.23467397751,9886.086,0,,WY,16.897357054833037,0.0,Wyoming,29.9,74815.0,10.7,579761.0
